Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Self-Supervise Rotation Model,1,43.852,1.3217051001765845,51.03,1.1780312
Self-Supervise Rotation Model,2,53.576,1.1486556941590955,57.35,1.0962908
Self-Supervise Rotation Model,3,56.412,1.0998197460113583,57.72,1.0974212
Self-Supervise Rotation Model,4,59.4,1.0604792981196547,60.69,1.0351307
Self-Supervise Rotation Model,5,60.996,1.0307420423573546,60.83,1.0298623
Self-Supervise Rotation Model,6,62.608,1.0083708600010104,64.69,0.9806945
Self-Supervise Rotation Model,7,63.762,0.9879305481605822,63.95,0.97157836
Self-Supervise Rotation Model,8,64.852,0.9705881532805655,65.23,0.96834403
Self-Supervise Rotation Model,9,65.742,0.9587390651483365,67.32,0.9345952
Self-Supervise Rotation Model,10,66.67,0.9438091271063861,67.97,0.91828924
Self-Supervise Rotation Model,11,67.4,0.9326737706008774,68.09,0.92057014
Self-Supervise Rotation Model,12,68.246,0.9195459389015842,66.77,0.9519881
Self-Supervise Rotation Model,13,69.088,0.906230978953564,69.7,0.89700603
Self-Supervise Rotation Model,14,69.972,0.8930500666503711,71.67,0.85904336
Self-Supervise Rotation Model,15,70.702,0.8793806272089634,71.53,0.8669356
Self-Supervise Rotation Model,16,73.764,0.8293270656214956,75.56,0.7978074
Self-Supervise Rotation Model,17,74.632,0.8125395005011498,75.84,0.78861344
Self-Supervise Rotation Model,18,75.148,0.8046198209838185,76.39,0.7834173
Self-Supervise Rotation Model,19,75.604,0.7959206595140345,76.18,0.7791565
Self-Supervise Rotation Model,20,75.62,0.7935035655565579,76.33,0.774901
Self-Supervise Rotation Model,21,76.368,0.7843476855541434,76.95,0.77031934
Self-Supervise Rotation Model,22,76.45,0.7823770284042944,77.07,0.7668771
Self-Supervise Rotation Model,23,76.53,0.7789291748610299,77.04,0.762237
Self-Supervise Rotation Model,24,76.726,0.776915359070234,76.94,0.772722
Self-Supervise Rotation Model,25,77.29,0.7687164756952954,77.75,0.7609948
Self-Supervise Rotation Model,26,77.234,0.768736838837109,77.17,0.76303506
Self-Supervise Rotation Model,27,77.386,0.7649932680532451,77.53,0.76094157
Self-Supervise Rotation Model,28,77.59,0.761362750816833,78.08,0.749377
Self-Supervise Rotation Model,29,77.722,0.758663525056961,77.78,0.7520793
Self-Supervise Rotation Model,30,78.086,0.7538713398187057,77.76,0.75149006
Self-Supervise Rotation Model,31,78.208,0.7486582683480304,78.32,0.74658406
Self-Supervise Rotation Model,32,78.77,0.7451360826297184,78.63,0.73713845
Self-Supervise Rotation Model,33,78.7,0.7433210539695857,78.47,0.7386415
Self-Supervise Rotation Model,34,78.72,0.7421839122881975,78.84,0.73781943
Self-Supervise Rotation Model,35,78.634,0.7434749563636682,78.49,0.7398857
Self-Supervise Rotation Model,36,78.476,0.7443160086946414,78.86,0.7402325
Self-Supervise Rotation Model,37,78.978,0.7389666221635726,78.76,0.7408163
Self-Supervise Rotation Model,38,78.844,0.7405665190628422,79.07,0.7405211
Self-Supervise Rotation Model,39,78.908,0.7387141942063256,78.8,0.74022394
Self-Supervise Rotation Model,40,79.036,0.7387994933311287,78.6,0.7358343
Self-Supervise Rotation Model,41,78.76,0.7401521216573008,78.56,0.73580515
Self-Supervise Rotation Model,42,79.016,0.7386348255150154,79.01,0.73251045
Self-Supervise Rotation Model,43,78.914,0.73722311313195,78.51,0.7389454
Self-Supervise Rotation Model,44,78.89,0.7362968028353913,78.63,0.74054694
Self-Supervise Rotation Model,45,79.314,0.7348289971461381,78.5,0.73920554
Fine-tuning Pre-trained Model,1,40.646,1.756810556897117,49.28,1.6028047
Fine-tuning Pre-trained Model,2,48.034,1.6058437238873728,51.66,1.5428166
Fine-tuning Pre-trained Model,3,50.266,1.5685887065385005,52.08,1.5254211
Fine-tuning Pre-trained Model,4,51.516,1.5474279134169868,54.96,1.4826667
Fine-tuning Pre-trained Model,5,52.138,1.5323937902670077,55.18,1.4742433
Fine-tuning Pre-trained Model,6,52.578,1.5210149763795116,54.32,1.4755454
Fine-tuning Pre-trained Model,7,53.266,1.5147385905160928,54.08,1.4850494
Fine-tuning Pre-trained Model,8,53.512,1.50076965755209,55.11,1.4716119
Fine-tuning Pre-trained Model,9,53.666,1.4998019900163422,55.62,1.4508604
Fine-tuning Pre-trained Model,10,54.17,1.4908951304452804,55.96,1.4568453
Fine-tuning Pre-trained Model,11,56.28,1.4472265152065344,58.75,1.3930377
Fine-tuning Pre-trained Model,12,56.646,1.435196743291967,58.79,1.3919675
Fine-tuning Pre-trained Model,13,57.0,1.4295624262841462,58.96,1.3877069
Fine-tuning Pre-trained Model,14,56.98,1.4286494206284623,59.03,1.3872943
Fine-tuning Pre-trained Model,15,57.066,1.4255657427756072,59.04,1.3821563
Fine-tuning Pre-trained Model,16,57.27,1.423880412755415,59.4,1.3810067
Fine-tuning Pre-trained Model,17,57.582,1.4153796632576476,59.29,1.3831309
Fine-tuning Pre-trained Model,18,57.3,1.4182428932555802,59.27,1.3838632
Fine-tuning Pre-trained Model,19,57.432,1.4197038595023972,59.41,1.3769221
Fine-tuning Pre-trained Model,20,57.612,1.4148299102588078,59.02,1.382976
Fine-tuning Pre-trained Model,21,57.814,1.4112674802770395,59.72,1.374135
Fine-tuning Pre-trained Model,22,57.692,1.4096695550567353,59.65,1.3740375
Fine-tuning Pre-trained Model,23,57.976,1.408897077945797,59.76,1.3743775
Fine-tuning Pre-trained Model,24,58.03,1.4089368307377066,59.8,1.3704958
Fine-tuning Pre-trained Model,25,57.786,1.4094158188461343,59.87,1.3720392
Fine-tuning Pre-trained Model,26,57.916,1.4066437040753377,59.65,1.3740404
Fine-tuning Pre-trained Model,27,57.968,1.4048499490903772,59.98,1.370725
Fine-tuning Pre-trained Model,28,57.818,1.4072570764195278,59.84,1.3716047
Fine-tuning Pre-trained Model,29,57.904,1.4093046432260967,59.69,1.3712226
Fine-tuning Pre-trained Model,30,57.758,1.4063052338407473,59.64,1.3711317
Fine-tuning Pre-trained Model,31,57.886,1.4064716792777372,59.72,1.3723292
Fine-tuning Pre-trained Model,32,57.762,1.406711885996182,59.76,1.3717382
Fine-tuning Pre-trained Model,33,57.976,1.4064060169107773,59.7,1.3728075
Fine-tuning Pre-trained Model,34,57.724,1.4084481796645143,59.67,1.371393
Fine-tuning Pre-trained Model,35,58.046,1.406017541885376,59.77,1.369588
Fine-tuning Pre-trained Model,36,58.046,1.4052079757461158,59.84,1.3727134
Fine-tuning Pre-trained Model,37,57.95,1.4055717409114399,60.0,1.3682106
Fine-tuning Pre-trained Model,38,58.226,1.4051530800207193,59.96,1.3694414
Fine-tuning Pre-trained Model,39,58.126,1.4068476321447232,59.75,1.3728802
Fine-tuning Pre-trained Model,40,57.772,1.4080094964912786,59.77,1.3740909
Fine-tuning Pre-trained Model,41,57.974,1.4049292348534859,59.91,1.3704336
Fine-tuning Pre-trained Model,42,57.938,1.402477731180313,59.8,1.3701698
Fine-tuning Pre-trained Model,43,57.872,1.4069342186383884,59.72,1.3716948
Fine-tuning Pre-trained Model,44,57.936,1.403234650106991,59.85,1.3721623
