Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Resnet34 Self-Supervise Rotation Model,1,36.102,1.4431278345834873,47.23,1.3642709
Resnet34 Self-Supervise Rotation Model,2,47.78,1.236068156064319,52.53,1.2680678
Resnet34 Self-Supervise Rotation Model,3,43.228,1.2620608885879712,49.93,1.1799773
Resnet34 Self-Supervise Rotation Model,4,51.926,1.1643470882454796,55.63,1.1158056
Resnet34 Self-Supervise Rotation Model,5,55.328,1.1168575852423372,57.12,1.0905938
Resnet34 Self-Supervise Rotation Model,6,57.612,1.0838390187839109,59.17,1.0577382
Resnet34 Self-Supervise Rotation Model,7,59.634,1.0561089969961845,61.9,1.0261657
Resnet34 Self-Supervise Rotation Model,8,61.162,1.0307887550205221,60.32,1.0469183
Resnet34 Self-Supervise Rotation Model,9,62.546,1.0101301705136019,63.2,1.0035534
Resnet34 Self-Supervise Rotation Model,10,63.578,0.994305394494625,64.91,0.9718114
Resnet34 Self-Supervise Rotation Model,11,64.454,0.97838004059194,65.85,0.95473254
Resnet34 Self-Supervise Rotation Model,12,65.664,0.9595404370971348,65.73,0.9612636
Resnet34 Self-Supervise Rotation Model,13,66.106,0.9516912343556924,66.7,0.9322665
Resnet34 Self-Supervise Rotation Model,14,67.03,0.9389788348351598,68.66,0.91122824
Resnet34 Self-Supervise Rotation Model,15,67.962,0.9251303259673935,68.28,0.91475904
Resnet34 Self-Supervise Rotation Model,16,70.794,0.8757250026973618,72.23,0.8429637
Resnet34 Self-Supervise Rotation Model,17,71.652,0.8602348078242348,73.44,0.8343795
Resnet34 Self-Supervise Rotation Model,18,72.526,0.8493441370746974,73.53,0.82991487
Resnet34 Self-Supervise Rotation Model,19,72.808,0.8421967085974905,74.26,0.82321566
Resnet34 Self-Supervise Rotation Model,20,73.104,0.8375806139253289,74.23,0.8178014
Resnet34 Self-Supervise Rotation Model,21,73.418,0.8342697841432088,74.1,0.81451076
Resnet34 Self-Supervise Rotation Model,22,73.794,0.8277330514415145,73.97,0.81276596
Resnet34 Self-Supervise Rotation Model,23,74.144,0.8204304089631571,74.94,0.8092166
Resnet34 Self-Supervise Rotation Model,24,74.228,0.8172473916617196,75.42,0.80091256
Resnet34 Self-Supervise Rotation Model,25,74.498,0.8127527836033756,75.38,0.80049396
Resnet34 Self-Supervise Rotation Model,26,74.856,0.8084450293989742,75.84,0.7890116
Resnet34 Self-Supervise Rotation Model,27,74.83,0.80717652883676,76.21,0.7893093
Resnet34 Self-Supervise Rotation Model,28,75.35,0.8007553498763258,76.35,0.7851892
Resnet34 Self-Supervise Rotation Model,29,75.62,0.7941937801783042,76.4,0.78469926
Resnet34 Self-Supervise Rotation Model,30,75.638,0.794753462457291,75.82,0.78600425
Resnet34 Self-Supervise Rotation Model,31,76.282,0.7826452354336029,76.32,0.7788908
Resnet34 Self-Supervise Rotation Model,32,76.312,0.7803816382232529,76.82,0.77414167
Resnet34 Self-Supervise Rotation Model,33,76.294,0.7801816176880351,76.89,0.77591544
Resnet34 Self-Supervise Rotation Model,34,76.816,0.7753439784964637,76.71,0.7720185
Resnet34 Self-Supervise Rotation Model,35,76.678,0.7782323079950669,76.38,0.7752246
Resnet34 Self-Supervise Rotation Model,36,76.918,0.7758415409975954,76.5,0.7754141
Resnet34 Self-Supervise Rotation Model,37,76.808,0.7770583228686886,77.38,0.76738036
Resnet34 Self-Supervise Rotation Model,38,77.012,0.7737582566793008,77.04,0.76906496
Resnet34 Self-Supervise Rotation Model,39,76.844,0.774218578015447,76.84,0.7731389
Resnet34 Self-Supervise Rotation Model,40,76.854,0.7741984072548654,77.0,0.76573884
Resnet34 Self-Supervise Rotation Model,41,76.984,0.7715721208116283,77.1,0.76908195
Resnet34 Self-Supervise Rotation Model,42,77.146,0.7706808298445114,77.19,0.7704597
Resnet34 Self-Supervise Rotation Model,43,77.092,0.7684737651244454,77.2,0.76770693
Resnet34 Self-Supervise Rotation Model,44,77.106,0.7685372407174171,77.1,0.7687845
Resnet34 Self-Supervise Rotation Model,45,76.91,0.7715301713370302,77.56,0.7610967
Resnet34 Self-Supervise Rotation Model,46,76.858,0.7703990204559873,77.24,0.7674509
Resnet34 Self-Supervise Rotation Model,47,77.054,0.7700138872541735,77.4,0.765066
Resnet34 Self-Supervise Rotation Model,48,77.202,0.7694682902692224,77.18,0.7702186
Resnet34 Self-Supervise Rotation Model,49,77.058,0.7685643992460597,77.39,0.76376075
Resnet34 Self-Supervise Rotation Model,50,77.114,0.7698144424906777,77.32,0.7655138
Resnet34 Self-Supervise Rotation Model,51,77.09,0.7696745660908691,77.03,0.76612663
Resnet34 Self-Supervise Rotation Model,52,77.082,0.7693570704411363,77.66,0.7616662
Resnet34 Self-Supervise Rotation Model,53,76.974,0.7708664443486791,76.89,0.7688485
Resnet34 Self-Supervise Rotation Model,54,77.33,0.767131349009931,77.06,0.76912165
Resnet34 Self-Supervise Rotation Model,55,77.106,0.7670960883655207,77.25,0.7659171
Resnet34 Self-Supervise Rotation Model,56,77.084,0.7695800758078885,77.45,0.7658642
Resnet34 Self-Supervise Rotation Model,57,77.196,0.7685762396858781,76.82,0.7715892
Resnet34 Self-Supervise Rotation Model,58,77.226,0.7673133312893645,77.6,0.76469713
Resnet34 Self-Supervise Rotation Model,59,77.426,0.7653528217159574,77.34,0.7641619
Resnet34 Self-Supervise Rotation Model,60,77.294,0.7674617617941268,77.1,0.7664112
Resnet34 Self-Supervise Rotation Model,61,77.438,0.766806984648985,77.21,0.77020675
Resnet34 Self-Supervise Rotation Model,62,77.336,0.7664278331010238,77.17,0.7627812
Resnet34 Self-Supervise Rotation Model,63,77.3,0.7666995293648956,77.14,0.76558405
Resnet34 Self-Supervise Rotation Model,64,77.374,0.7678787407972624,77.36,0.76579314
Resnet34 Self-Supervise Rotation Model,65,77.436,0.7676136318375083,77.44,0.7627019
Resnet34 Self-Supervise Rotation Model,66,77.218,0.770927038643976,77.1,0.76876277
Resnet34 Self-Supervise Rotation Model,67,77.28,0.7680872876930724,77.22,0.76333433
Resnet34 Self-Supervise Rotation Model,68,77.132,0.7671974694637387,77.0,0.7687122
Resnet34 Self-Supervise Rotation Model,69,77.338,0.7672298236576187,77.72,0.7614965
