Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Resnet18 Self-Supervise Rotation Model,1,43.58432780652656,1.2189128807670362,31.414012738853504,1.5945164
Resnet18 Self-Supervise Rotation Model,2,50.10032738409547,1.1018341709230397,53.961783439490446,1.2661289
Resnet18 Self-Supervise Rotation Model,3,50.5755623613898,1.0816884572441514,53.52866242038217,1.5235314
Resnet18 Self-Supervise Rotation Model,4,52.011828070545995,1.0645249368169822,49.961783439490446,2.1609728
Resnet18 Self-Supervise Rotation Model,5,52.48706304784032,1.0493088096782968,54.904458598726116,0.96975726
Resnet18 Self-Supervise Rotation Model,6,52.1702397296441,1.0349674356748928,54.802547770700635,1.1422206
Resnet18 Self-Supervise Rotation Model,7,53.13127046150597,1.024770192701269,40.45859872611465,1.3679361
Resnet18 Self-Supervise Rotation Model,8,52.43425916147429,1.029012367733427,33.42675159235669,1.5896026
Resnet18 Self-Supervise Rotation Model,9,53.43753300242898,1.014582232647651,56.02547770700637,1.1121294
Resnet18 Self-Supervise Rotation Model,10,53.73323476607878,1.0050456171502937,35.796178343949045,1.4187479
Resnet18 Self-Supervise Rotation Model,11,54.00781497518217,1.0011907483677607,56.99363057324841,1.049272
Resnet18 Self-Supervise Rotation Model,12,54.3351990706516,0.9944235327074656,58.21656050955414,1.0041716
Resnet18 Self-Supervise Rotation Model,13,54.53585383884254,0.9954966816145021,55.6687898089172,1.1111104
Resnet18 Self-Supervise Rotation Model,14,54.314077516105186,0.9871569045290753,57.80891719745223,1.0419353
Resnet18 Self-Supervise Rotation Model,15,54.72594782976027,0.9873640858442396,57.98726114649681,1.0864474
Resnet18 Self-Supervise Rotation Model,16,55.961558770725524,0.9594693012736939,58.24203821656051,0.98707485
Resnet18 Self-Supervise Rotation Model,17,56.003801879818354,0.9529830250587012,57.605095541401276,1.005033
Resnet18 Self-Supervise Rotation Model,18,56.80642095258211,0.9484821976842107,58.19108280254777,0.98966306
Resnet18 Self-Supervise Rotation Model,19,57.48231069806738,0.9391411809703788,58.11464968152866,0.9986568
Resnet18 Self-Supervise Rotation Model,20,56.54240152075193,0.9401439254146975,59.00636942675159,0.9958462
Resnet18 Self-Supervise Rotation Model,21,56.96483261168022,0.9356271555093495,57.605095541401276,0.9808978
Resnet18 Self-Supervise Rotation Model,22,57.809694793536806,0.9283896994751852,59.97452229299363,0.9820431
Resnet18 Self-Supervise Rotation Model,23,57.18660893441757,0.9329698903335107,57.42675159235669,1.0513424
Resnet18 Self-Supervise Rotation Model,24,57.84137712535642,0.9328634011987094,59.59235668789809,0.974522
Resnet18 Self-Supervise Rotation Model,25,57.88362023444925,0.92277136374567,59.439490445859875,0.9461798
Resnet18 Self-Supervise Rotation Model,26,58.40109832083641,0.9221962365145618,58.853503184713375,0.98297757
Resnet18 Self-Supervise Rotation Model,27,58.63343542084697,0.9222071351030389,59.00636942675159,1.0228263
Resnet18 Self-Supervise Rotation Model,28,58.05259267082057,0.9218907463993575,60.43312101910828,0.9656305
Resnet18 Self-Supervise Rotation Model,29,58.432780652656035,0.9177817803983753,59.617834394904456,0.94054824
Resnet18 Self-Supervise Rotation Model,30,58.27436899355793,0.9201766969384374,59.49044585987261,0.97750294
Resnet18 Self-Supervise Rotation Model,31,59.816242475446195,0.9096872797487555,60.89171974522293,0.9495039
Resnet18 Self-Supervise Rotation Model,32,59.6789523708945,0.9042888493151278,59.56687898089172,0.93940717
Resnet18 Self-Supervise Rotation Model,33,59.20371739360017,0.9080785604546199,60.68789808917197,0.9168747
Resnet18 Self-Supervise Rotation Model,34,59.457176048157145,0.9038739248707488,58.70063694267516,0.96515876
Resnet18 Self-Supervise Rotation Model,35,58.538388425388106,0.9105745586189063,60.17834394904459,0.94352067
Resnet18 Self-Supervise Rotation Model,36,59.626148484528464,0.9025673842107927,59.56687898089172,0.93518406
Resnet18 Self-Supervise Rotation Model,37,59.6789523708945,0.9063177274892459,58.92993630573248,0.96228516
Resnet18 Self-Supervise Rotation Model,38,59.50997993452318,0.904450057628187,59.031847133757964,0.921855
Resnet18 Self-Supervise Rotation Model,39,58.76016474812546,0.9073391590972204,55.97452229299363,0.9599045
Resnet18 Self-Supervise Rotation Model,40,60.17530890273524,0.9030655499648403,57.554140127388536,0.945209
Resnet18 Self-Supervise Rotation Model,41,59.30932516633224,0.9023906013651474,59.796178343949045,0.93957263
Resnet18 Self-Supervise Rotation Model,42,59.50997993452318,0.9101866158480579,58.955414012738856,0.9232764
Resnet18 Self-Supervise Rotation Model,43,60.16474812546203,0.9013230493543921,59.54140127388535,0.9444856
Resnet18 Self-Supervise Rotation Model,44,59.30932516633224,0.8949079216533417,55.18471337579618,0.9836465
Resnet18 Self-Supervise Rotation Model,45,59.79512092089978,0.9022007024771458,55.210191082802545,0.9749732
Resnet18 Self-Supervise Rotation Model,46,59.89016791635864,0.9003079817504496,49.93630573248408,1.1508948
Resnet18 Self-Supervise Rotation Model,47,59.07698806632168,0.9066439372663563,60.89171974522293,0.9432846
Resnet18 Self-Supervise Rotation Model,48,58.432780652656035,0.9019050764272342,58.34394904458599,0.9407
Resnet18 Self-Supervise Rotation Model,49,59.330446720878655,0.9036222660058254,60.76433121019108,0.92812693
Resnet18 Self-Supervise Rotation Model,50,59.520540711796386,0.9049061597199053,61.32484076433121,0.9420904
Resnet34 Self-Supervise Rotation Model,1,42.422642306473755,1.2474083548059334,46.7515923566879,1.2273484
Resnet34 Self-Supervise Rotation Model,2,47.882564156721934,1.1341062653306369,52.07643312101911,0.9903568
Resnet34 Self-Supervise Rotation Model,3,49.61453162952793,1.1023994666096326,31.84713375796178,1.3855242
Resnet34 Self-Supervise Rotation Model,4,50.68117013412187,1.0767360180616379,54.24203821656051,1.1624106
Resnet34 Self-Supervise Rotation Model,5,51.74780863871581,1.0561733915395028,47.31210191082803,1.1430479
Resnet34 Self-Supervise Rotation Model,6,51.91678107508713,1.0444535794290337,55.15923566878981,1.0422275
Resnet34 Self-Supervise Rotation Model,7,52.62435315239202,1.0382809128511596,57.27388535031847,1.0563889
Resnet34 Self-Supervise Rotation Model,8,53.036223466047105,1.0288000689769112,57.01910828025478,1.0105447
Resnet34 Self-Supervise Rotation Model,9,52.677157038758054,1.0204402389558587,56.30573248407644,1.042351
Resnet34 Self-Supervise Rotation Model,10,53.11014890695955,1.0157442505697947,56.07643312101911,0.9919428
Resnet34 Self-Supervise Rotation Model,11,53.15239201605238,1.0090161490480642,55.97452229299363,1.074599
Resnet34 Self-Supervise Rotation Model,12,54.11342274791425,0.993388817721122,54.87898089171974,0.98504597
Resnet34 Self-Supervise Rotation Model,13,53.595944661527085,0.9963180621129435,50.92993630573248,1.0593251
Resnet34 Self-Supervise Rotation Model,14,53.77547787517161,0.9966868960575478,54.59872611464968,1.0556353
Resnet34 Self-Supervise Rotation Model,15,55.063892702502905,0.9837423217659061,56.35668789808917,0.9896505
Resnet34 Self-Supervise Rotation Model,16,54.63090083430141,0.9622505194432026,57.88535031847134,1.028577
Resnet34 Self-Supervise Rotation Model,17,56.552962298025136,0.9500744415296091,55.89808917197452,1.0328084
Resnet34 Self-Supervise Rotation Model,18,56.215017425282504,0.9522748290485626,51.4140127388535,1.1776103
Resnet34 Self-Supervise Rotation Model,19,56.60576618439117,0.9444450650464844,57.37579617834395,0.95862883
Resnet34 Self-Supervise Rotation Model,20,55.77146477980779,0.9457112948435384,53.044585987261144,1.128464
Resnet34 Self-Supervise Rotation Model,21,56.20445664800929,0.9362082946542147,57.859872611464965,0.97270304
Resnet34 Self-Supervise Rotation Model,22,56.943711057133804,0.9413697734676503,58.089171974522294,0.98097056
Resnet34 Self-Supervise Rotation Model,23,57.01763649804626,0.9345242558298884,58.4203821656051,0.9544423
Resnet34 Self-Supervise Rotation Model,24,56.65857007075721,0.9278377077063998,50.77707006369427,1.2711587
Resnet34 Self-Supervise Rotation Model,25,57.10212271623192,0.9316929532466708,51.49044585987261,1.158584
Resnet34 Self-Supervise Rotation Model,26,56.86978561622136,0.9264650660994891,49.2484076433121,1.2593265
Resnet34 Self-Supervise Rotation Model,27,57.33445981624248,0.9210689913582157,57.5796178343949,0.97929096
Resnet34 Self-Supervise Rotation Model,28,57.429506811701344,0.9230715355558975,53.65605095541401,1.0058624
Resnet34 Self-Supervise Rotation Model,29,57.41894603442813,0.9230792044183692,42.47133757961783,1.4269202
Resnet34 Self-Supervise Rotation Model,30,57.799134016263594,0.9185146549464883,53.044585987261144,1.0656794
Resnet34 Self-Supervise Rotation Model,31,58.17932199809906,0.9121649411280413,52.10191082802548,1.2011911
Resnet34 Self-Supervise Rotation Model,32,58.031471116274155,0.9157357881399425,51.33757961783439,1.2249299
