Experiment Type,Epoch,Train Accuracy,Train Loss,Valid Accuracy,Valid Loss
Pre-trained Model Sample Per Class 20,1,12.0,2.294804811477661,13.28,2.2572327
Pre-trained Model Sample Per Class 20,2,16.0,2.217527985572815,14.37,2.221031
Pre-trained Model Sample Per Class 20,3,23.5,2.133584141731262,17.37,2.204279
Pre-trained Model Sample Per Class 20,4,21.0,2.0697227716445923,18.23,2.2065055
Pre-trained Model Sample Per Class 20,5,24.0,2.0301014184951782,20.89,2.1984549
Pre-trained Model Sample Per Class 20,6,32.0,1.9864253401756287,20.77,2.195823
Pre-trained Model Sample Per Class 20,7,26.0,1.9731176495552063,19.85,2.1902003
Pre-trained Model Sample Per Class 20,8,34.5,1.933029055595398,20.76,2.1674902
Pre-trained Model Sample Per Class 20,9,32.0,1.8797472715377808,22.14,2.1568825
Pre-trained Model Sample Per Class 20,10,30.5,1.8720266222953796,22.96,2.1408155
Pre-trained Model Sample Per Class 20,11,37.0,1.8064345717430115,24.22,2.1472902
Pre-trained Model Sample Per Class 20,12,43.0,1.7388103008270264,25.31,2.1580052
Pre-trained Model Sample Per Class 20,13,44.5,1.6817459464073181,25.73,2.1856103
Pre-trained Model Sample Per Class 20,14,38.5,1.722841739654541,25.32,2.1849768
Pre-trained Model Sample Per Class 20,15,47.5,1.6421931982040405,25.42,2.1974807
Pre-trained Model Sample Per Class 20,16,43.5,1.6857444047927856,25.52,2.1884587
Pre-trained Model Sample Per Class 20,17,51.5,1.6085904836654663,26.09,2.1803539
Pre-trained Model Sample Per Class 20,18,45.5,1.6930728554725647,26.75,2.1694221
Pre-trained Model Sample Per Class 20,19,50.5,1.624668538570404,27.31,2.1612046
Pre-trained Model Sample Per Class 20,20,49.0,1.6581159830093384,27.52,2.154296
Pre-trained Model Sample Per Class 20,21,47.0,1.6040351390838623,27.89,2.1539984
Pre-trained Model Sample Per Class 20,22,50.0,1.5690012574195862,28.24,2.1512687
Pre-trained Model Sample Per Class 20,23,49.0,1.604392409324646,28.27,2.1595354
Pre-trained Model Sample Per Class 20,24,51.0,1.6087061762809753,28.43,2.1588025
Pre-trained Model Sample Per Class 20,25,45.0,1.5750752687454224,28.42,2.1581187
Pre-trained Model Sample Per Class 20,26,50.5,1.574336290359497,28.5,2.162209
Pre-trained Model Sample Per Class 20,27,50.0,1.6055512428283691,28.52,2.1591182
Pre-trained Model Sample Per Class 20,28,48.0,1.5367546677589417,28.55,2.164822
Pre-trained Model Sample Per Class 20,29,48.0,1.574534833431244,28.6,2.158027
Pre-trained Model Sample Per Class 20,30,51.5,1.523674190044403,28.91,2.15403
Pre-trained Model Sample Per Class 20,31,47.0,1.5731732249259949,29.15,2.158675
Pre-trained Model Sample Per Class 20,32,51.5,1.5490316152572632,29.07,2.148668
Pre-trained Model Sample Per Class 20,33,53.5,1.544704794883728,29.08,2.1494143
Pre-trained Model Sample Per Class 20,34,51.0,1.5394859313964844,28.98,2.1500497
Pre-trained Model Sample Per Class 20,35,61.0,1.5472594499588013,29.16,2.1630225
Pre-trained Model Sample Per Class 20,36,46.5,1.5733309984207153,29.0,2.1595397
Pre-trained Model Sample Per Class 20,37,55.5,1.4869918823242188,29.0,2.159329
Pre-trained Model Sample Per Class 20,38,50.5,1.5003697872161865,28.92,2.159698
Pre-trained Model Sample Per Class 20,39,50.0,1.5057498216629028,28.93,2.1603408
Pre-trained Model Sample Per Class 20,40,51.0,1.4941951036453247,28.9,2.1644564
Pre-trained Model Sample Per Class 20,41,53.0,1.4970839023590088,28.76,2.1537993
Pre-trained Model Sample Per Class 20,42,50.0,1.538649082183838,28.88,2.1549537
Pre-trained Model Sample Per Class 20,43,46.5,1.6208853125572205,28.96,2.146865
Pre-trained Model Sample Per Class 20,44,49.0,1.6143397092819214,29.12,2.1422958
Pre-trained Model Sample Per Class 20,45,54.0,1.5452504754066467,29.18,2.143348
Pre-trained Model Sample Per Class 20,46,50.5,1.5566599369049072,29.04,2.1510377
Pre-trained Model Sample Per Class 20,47,54.5,1.4831589460372925,29.07,2.157039
Pre-trained Model Sample Per Class 20,48,50.5,1.5386545062065125,29.11,2.1473854
Pre-trained Model Sample Per Class 20,49,52.0,1.5419303178787231,29.12,2.1381533
Pre-trained Model Sample Per Class 20,50,52.5,1.557681918144226,29.02,2.145258
Pre-trained Model Sample Per Class 20,51,52.5,1.5253115892410278,29.13,2.1382914
Pre-trained Model Sample Per Class 20,52,45.5,1.5828545689582825,29.1,2.1410882
Pre-trained Model Sample Per Class 20,53,51.0,1.5062602758407593,29.02,2.1445165
Pre-trained Model Sample Per Class 20,54,56.5,1.519492745399475,28.85,2.155989
Pre-trained Model Sample Per Class 20,55,51.0,1.5547639727592468,28.86,2.157131
Pre-trained Model Sample Per Class 20,56,54.0,1.5152391195297241,28.95,2.1497612
Pre-trained Model Sample Per Class 20,57,53.0,1.546246349811554,28.94,2.1518817
Pre-trained Model Sample Per Class 20,58,47.0,1.5607367157936096,29.01,2.1502492
Pre-trained Model Sample Per Class 20,59,56.0,1.4925524592399597,28.89,2.1555943
Pre-trained Model Sample Per Class 20,60,53.0,1.514660358428955,28.81,2.1606987
Pre-trained Model Sample Per Class 20,61,52.0,1.5053923726081848,28.91,2.1540565
Pre-trained Model Sample Per Class 20,62,47.5,1.59302818775177,29.23,2.1410823
Pre-trained Model Sample Per Class 20,63,52.5,1.5010303258895874,29.14,2.1380324
Pre-trained Model Sample Per Class 20,64,58.0,1.5295798182487488,29.11,2.1449668
Pre-trained Model Sample Per Class 20,65,52.0,1.532848596572876,29.03,2.145554
Pre-trained Model Sample Per Class 20,66,50.0,1.6016908288002014,29.04,2.148708
