id,image_id,prediction_list
1,002824.jpg,"[['person', 0.438882052898407, 7, 13, 482, 425]]"
2,000473.jpg,"[['aeroplane', 0.5933281779289246, 424, 122, 449, 149]]"
3,000358.jpg,"[['person', 0.5591957569122314, 24, 30, 100, 289], ['car', 0.5350375771522522, 56, 88, 400, 287]]"
4,006052.jpg,"[['cat', 0.34195438027381897, 137, 60, 474, 352]]"
5,004758.jpg,"[['dog', 0.34307849407196045, 47, 43, 126, 266]]"
6,003385.jpg,"[['person', 0.7758609056472778, 171, 64, 303, 348], ['car', 0.539097011089325, 352, 92, 440, 137], ['car', 0.4967154562473297, 142, 83, 230, 139], ['car', 0.3369201719760895, 275, 126, 544, 328], ['car', 0.3292800188064575, -19, 90, 197, 350], ['pottedplant', 0.24240897595882416, 42, 63, 69, 88], ['car', 0.2159786969423294, 19, 191, 162, 348]]"
7,003494.jpg,"[['person', 0.570586085319519, 63, 209, 120, 393], ['aeroplane', 0.18600046634674072, 6, 19, 490, 272], ['person', 0.17771859467029572, 407, 200, 503, 403]]"
8,002128.jpg,"[['bicycle', 0.36124634742736816, 23, 46, 460, 303]]"
9,007962.jpg,"[['person', 0.5794551968574524, 143, 174, 328, 376], ['dog', 0.1512584090232849, 47, 119, 219, 331]]"
10,003583.jpg,"[['person', 0.49371573328971863, 152, 4, 310, 308], ['person', 0.4548129737377167, 455, 188, 483, 284], ['horse', 0.3302600383758545, 83, 114, 365, 318], ['horse', 0.1738423854112625, 15, 113, 158, 325]]"
11,003922.jpg,"[['person', 0.577277421951294, 192, 31, 343, 192], ['horse', 0.45930859446525574, 80, 55, 420, 326]]"
12,009725.jpg,"[['bicycle', 0.7025284767150879, 7, 225, 122, 355], ['train', 0.2661493718624115, 152, 16, 524, 346]]"
13,002850.jpg,"[['tvmonitor', 0.616023063659668, 318, 77, 440, 216], ['tvmonitor', 0.5117766857147217, 190, 76, 319, 201], ['tvmonitor', 0.3339790999889374, 127, 106, 188, 180], ['chair', 0.146605983376503, 59, 198, 330, 376], ['tvmonitor', 0.10017213970422745, 82, 102, 177, 187]]"
14,001921.jpg,"[['person', 0.672182559967041, 54, 245, 71, 291], ['person', 0.5554038882255554, 29, 248, 44, 290], ['person', 0.48842957615852356, 36, 278, 131, 462], ['person', 0.43514347076416016, 6, 240, 24, 292], ['person', 0.41046544909477234, 107, 243, 129, 310], ['person', 0.3444172441959381, 84, 242, 107, 297], ['person', 0.2616634666919708, 117, 105, 342, 500], ['person', 0.17783023416996002, -5, 275, 39, 458], ['person', 0.17667771875858307, 164, 285, 390, 518], ['person', 0.1468314230442047, 103, 244, 136, 338], ['person', 0.13062790036201477, 143, 112, 314, 367], ['chair', 0.12071414291858673, 25, 353, 146, 536]]"
15,009818.jpg,"[['sheep', 0.6675235629081726, 315, 227, 349, 250], ['sheep', 0.42158836126327515, 242, 182, 267, 201], ['sheep', 0.2844091057777405, 62, 204, 94, 230], ['sheep', 0.17577648162841797, 8, 197, 38, 223], ['sheep', 0.1022196039557457, 45, 201, 79, 220]]"
16,001959.jpg,"[['bird', 0.5674285292625427, 171, 59, 449, 297]]"
17,005505.jpg,"[['person', 0.2813270688056946, 50, 143, 142, 338], ['person', 0.17587192356586456, 27, 35, 450, 310]]"
18,005651.jpg,"[['dog', 0.18498194217681885, 229, 88, 382, 293]]"
19,003909.jpg,"[['tvmonitor', 0.8219533562660217, 201, 99, 239, 153], ['tvmonitor', 0.6712517142295837, 331, 124, 420, 200], ['tvmonitor', 0.13454826176166534, 268, 104, 332, 204], ['tvmonitor', 0.10639211535453796, 373, 167, 444, 235]]"
20,000106.jpg,"[['bird', 0.6868836283683777, 172, 92, 360, 270]]"
21,001222.jpg,"[['person', 0.5795362591743469, 2, 184, 53, 286], ['chair', 0.42405590415000916, -1, 275, 37, 390], ['car', 0.35709714889526367, 74, 178, 468, 341], ['person', 0.34001797437667847, 21, 192, 65, 267], ['car', 0.23931479454040527, 114, 160, 220, 198]]"
22,000361.jpg,"[['car', 0.5700969099998474, 217, 188, 287, 229], ['car', 0.4194517433643341, 468, 116, 502, 146]]"
23,002250.jpg,"[['person', 0.5986629724502563, 255, 160, 297, 244], ['person', 0.5549639463424683, 63, 101, 338, 512], ['person', 0.40953966975212097, 235, 159, 287, 240], ['person', 0.40690186619758606, -1, 242, 13, 348], ['bottle', 0.2962954342365265, 59, 262, 69, 296], ['person', 0.2841216027736664, 260, 171, 311, 275], ['person', 0.27589544653892517, 43, 253, 55, 308], ['person', 0.21422015130519867, 282, 156, 378, 457], ['person', 0.12675893306732178, 38, 253, 53, 328], ['bottle', 0.12647593021392822, 77, 247, 99, 302], ['person', 0.10984441637992859, 221, 177, 295, 263], ['person', 0.10056212544441223, 269, 174, 339, 300]]"
24,004417.jpg,"[['bicycle', 0.6023995280265808, 133, 213, 191, 316], ['person', 0.34880781173706055, 312, 85, 325, 139], ['person', 0.26919543743133545, 28, 126, 40, 168], ['motorbike', 0.22760964930057526, 198, 109, 230, 160]]"
25,001183.jpg,"[['person', 0.7568602561950684, 223, 91, 289, 244], ['horse', 0.507159948348999, 124, 132, 355, 335], ['horse', 0.21177023649215698, 97, 161, 169, 278]]"
26,000418.jpg,"[['aeroplane', 0.36265626549720764, 60, 56, 475, 352]]"
27,000841.jpg,"[['sofa', 0.45840200781822205, 33, 155, 487, 349]]"
28,001871.jpg,"[['tvmonitor', 0.308051735162735, 90, 50, 311, 253], ['person', 0.20371073484420776, 176, 301, 382, 510], ['tvmonitor', 0.18629106879234314, 114, 67, 191, 200], ['pottedplant', 0.17410963773727417, 8, 143, 63, 324], ['tvmonitor', 0.13500019907951355, 224, 39, 332, 231]]"
29,000421.jpg,"[['tvmonitor', 0.5673510432243347, 27, 41, 198, 241], ['person', 0.5010975003242493, 307, 19, 509, 381]]"
30,003978.jpg,"[['person', 0.6802583932876587, 174, 31, 333, 232], ['horse', 0.27333560585975647, 21, 53, 429, 415]]"
31,009951.jpg,"[['person', 0.7185054421424866, 354, 190, 395, 230], ['person', 0.7087884545326233, 435, 191, 469, 218], ['person', 0.5455792546272278, 322, 193, 355, 226], ['person', 0.3606521487236023, 375, 191, 426, 228], ['person', 0.15794989466667175, 314, 186, 361, 247], ['person', 0.15196412801742554, 353, 188, 443, 249]]"
32,003172.jpg,"[['person', 0.5845133662223816, 300, 22, 463, 325], ['person', 0.5744789242744446, 29, 123, 146, 327], ['person', 0.33069589734077454, 129, 83, 269, 318], ['person', 0.3131614327430725, 210, 27, 391, 325]]"
33,001912.jpg,"[['aeroplane', 0.4437050521373749, 2, 40, 483, 239]]"
34,003368.jpg,"[['person', 0.3031478822231293, -7, 19, 263, 334], ['person', 0.293123722076416, 455, 150, 496, 253], ['person', 0.2867388427257538, 182, 4, 492, 327], ['person', 0.23609082400798798, -12, 89, 44, 312]]"
35,009065.jpg,"[['motorbike', 0.5894190073013306, -3, 72, 479, 324], ['chair', 0.18602009117603302, 126, -27, 192, 67]]"
36,003602.jpg,"[['person', 0.4965350031852722, -9, 44, 185, 346], ['person', 0.40421879291534424, 153, 47, 313, 342], ['person', 0.3934992849826813, 277, 28, 484, 341]]"
37,007686.jpg,"[['aeroplane', 0.0, 0, 0, 0, 0]]"
38,002993.jpg,"[['car', 0.5510307550430298, 208, 209, 329, 305], ['car', 0.21939875185489655, 8, 0, 48, 25], ['person', 0.16765521466732025, 163, -11, 215, 48], ['chair', 0.12803255021572113, 13, 22, 238, 326]]"
39,005196.jpg,"[['person', 0.6892768740653992, 236, 33, 509, 371], ['cat', 0.40729209780693054, 6, 166, 194, 296], ['person', 0.19993361830711365, 114, 22, 284, 320], ['pottedplant', 0.18737415969371796, 221, 18, 296, 73]]"
40,004043.jpg,"[['person', 0.7200736403465271, 333, 168, 437, 289], ['car', 0.49222344160079956, 127, 100, 399, 269]]"
41,006970.jpg,"[['car', 0.3607470691204071, 61, 297, 345, 403], ['car', 0.32637134194374084, 222, 291, 383, 389]]"
42,009934.jpg,"[['aeroplane', 0.0, 0, 0, 0, 0]]"
