The boy ate.
The boy lay.
The boy sat.
The cat ate.
The cat lay.
The cat sat.
The dog ate.
The dog lay.
The dog sat.
The jar sat.
The mouse lay.
The mouse sat.
The pickle lay.
The pickle sat.
The pickle jar sat.
The boy ate in bed.
The boy ate the pickle.
The boy chased the mouse.
The cat ate the mouse.
The cat chased the boy.
The cat chased the mouse.
The dog chased the boy.
The dog chased the cat.
The dog chased the mouse.
The mouse chased the boy.
At the table sat the boy.
At the table sat the cat.
In the bed ate the boy.
On the bed ate the boy.
The bed sat on the floor.
The boy at the table ate.
The boy at the table sat.
The boy ate at the table.
The boy ate in the bed.
The boy ate in the chair.
The boy in the bed ate.
The boy in the bed lay.
The boy in the bed sat.
The boy in the chair ate.
The boy in the chair sat.
The boy on the bed ate.
The boy on the bed lay.
The boy on the bed sat.
The boy on the floor ate.
The boy on the floor lay.
The boy on the floor sat.
The boy sat at the table.
The boy sat in the bed.
The boy sat in the chair.
The boy sat on the bed.
The boy sat on the chair.
The boy under the bed ate.
The boy under the bed lay.
The boy under the table ate.
The boy under the table lay.
The boy under the table sat.
The cat at the table sat.
The cat ate on the floor.
The cat ate on the table.
The cat ate under the chair.
The cat ate under the table.
The cat in the chair sat.
The cat on the bed lay.
The cat on the bed sat.
The cat on the boy lay.
The cat on the boy sat.
The cat on the chair lay.
The cat on the chair sat.
The cat on the floor ate.
The cat on the floor lay.
The cat on the floor sat.
The cat on the refrigerator lay.
The cat on the refrigerator sat.
The cat on the table ate.
The cat on the table lay.
The cat on the table sat.
The cat sat in the bed.
The cat sat in the chair.
The cat sat on the bed.
The cat sat on the boy.
The cat sat on the chair.
The cat sat on the floor.
The cat sat on the refrigerator.
The cat sat on the table.
The cat sat under the bed.
The cat sat under the chair.
The cat sat under the table.
The cat under the bed ate.
The cat under the bed lay.
The cat under the chair ate.
The cat under the chair lay.
The cat under the table ate.
The cat under the table lay.
The chair sat at the table.
The chair sat on the floor.
The chair sat under the table.
The dog ate on the floor.
The dog ate under the chair.
The dog ate under the table.
The dog on the bed lay.
The dog on the bed sat.
The dog on the boy lay.
The dog on the floor ate.
The dog on the floor lay.
The dog on the floor sat.
The dog sat in the bed.
The dog sat on the bed.
The dog sat on the floor.
The dog sat under the table.
The dog under the bed ate.
The dog under the bed lay.
The dog under the chair ate.
The dog under the chair lay.
The dog under the table ate.
The dog under the table lay.
The dog under the table sat.
The jar in the refrigerator lay.
The jar in the refrigerator sat.
The jar on the bed lay.
The jar on the bed sat.
The jar on the chair lay.
The jar on the chair sat.
The jar on the refrigerator lay.
The jar on the refrigerator sat.
The jar on the table lay.
The jar on the table sat.
The jar sat in the refrigerator.
The jar sat on the bed.
The jar sat on the chair.
The jar sat on the floor.
The jar sat on the refrigerator.
The jar sat on the table.
The jar sat under the bed.
The jar sat under the chair.
The jar sat under the table.
The mouse on the floor lay.
The mouse on the floor sat.
The mouse sat on the floor.
The mouse sat under the bed.
The mouse sat under the chair.
The mouse sat under the refrigerator.
The mouse sat under the table.
The mouse under the bed lay.
The mouse under the bed sat.
The mouse under the chair lay.
The mouse under the chair sat.
The mouse under the refrigerator lay.
The mouse under the refrigerator sat.
The mouse under the table lay.
The mouse under the table sat.
The pickle on the bed lay.
The pickle on the chair lay.
The pickle on the chair sat.
The pickle on the floor lay.
The pickle on the refrigerator lay.
The pickle on the refrigerator sat.
The pickle on the table lay.
The pickle on the table sat.
The pickle sat in the jar.
The pickle sat in the refrigerator.
The pickle under the bed lay.
The pickle under the chair lay.
The pickle under the table lay.
The refrigerator sat on the floor.
The table sat on the floor.
The boy ate the pickle in bed.
The pickle jar in the refrigerator lay.
The pickle jar in the refrigerator sat.
