id,Class
sample_179,KIRC
sample_208,BRCA
sample_108,LUAD
sample_598,BRCA
sample_346,BRCA
sample_567,KIRC
sample_248,BRCA
sample_271,BRCA
sample_181,KIRC
sample_497,BRCA
sample_105,KIRC
sample_128,KIRC
sample_394,LUAD
sample_97,BRCA
sample_23,BRCA
sample_552,KIRC
sample_322,KIRC
sample_121,KIRC
sample_654,BRCA
sample_162,KIRC
sample_507,LUAD
sample_681,BRCA
sample_45,BRCA
sample_1,LUAD
sample_790,BRCA
sample_398,BRCA
sample_457,BRCA
sample_495,BRCA
sample_417,BRCA
sample_336,KIRC
sample_31,BRCA
sample_580,LUAD
sample_161,LUAD
sample_122,LUAD
sample_351,KIRC
sample_724,KIRC
sample_27,BRCA
sample_268,BRCA
sample_424,LUAD
sample_197,BRCA
sample_380,KIRC
sample_364,KIRC
sample_728,BRCA
sample_474,LUAD
sample_481,LUAD
sample_649,KIRC
sample_626,BRCA
sample_528,BRCA
sample_74,BRCA
sample_723,BRCA
sample_63,LUAD
sample_129,LUAD
sample_739,BRCA
sample_150,LUAD
sample_456,LUAD
sample_797,LUAD
sample_633,BRCA
sample_575,KIRC
sample_418,BRCA
sample_505,BRCA
sample_408,LUAD
sample_522,BRCA
sample_333,BRCA
sample_721,LUAD
sample_99,BRCA
sample_606,BRCA
sample_729,KIRC
sample_369,KIRC
sample_274,KIRC
sample_259,BRCA
sample_332,KIRC
sample_202,KIRC
sample_171,LUAD
sample_776,LUAD
sample_617,BRCA
sample_250,BRCA
sample_566,LUAD
sample_559,KIRC
sample_603,BRCA
sample_349,LUAD
sample_325,BRCA
sample_583,KIRC
sample_484,BRCA
sample_742,BRCA
sample_602,KIRC
sample_156,BRCA
sample_282,BRCA
sample_194,LUAD
sample_449,BRCA
sample_14,BRCA
sample_700,KIRC
sample_28,BRCA
sample_230,LUAD
sample_596,KIRC
sample_76,BRCA
sample_727,BRCA
sample_757,BRCA
sample_796,BRCA
sample_770,BRCA
sample_412,BRCA
sample_69,BRCA
sample_694,BRCA
sample_35,BRCA
sample_738,LUAD
sample_300,BRCA
sample_716,KIRC
sample_562,LUAD
sample_59,BRCA
sample_550,LUAD
sample_635,LUAD
sample_591,KIRC
sample_368,BRCA
sample_740,BRCA
sample_506,BRCA
sample_209,LUAD
sample_173,LUAD
sample_763,LUAD
sample_455,KIRC
sample_638,BRCA
